sio2,na2o,k2o,tas
51.09275127,3.288947953,0.628894046,3.917841999
51.11957233,3.310487755,0.633495904,3.943983659
51.29466573,3.431522018,0.659541472,4.09106349
51.49331164,3.551376173,0.685517471,4.236893644
51.71562964,3.669912827,0.711388147,4.381300974
51.96155461,3.786944538,0.737103968,4.524048506
52.23111265,3.90224146,0.771285782,4.673527242
52.50780629,4.012879018,0.806044923,4.8189239409999995
53.68066473,4.194604614,0.862629116,5.05723373
54.72622833,4.357076125,0.917020953,5.274097078
55.7030479,4.505465468,0.970530176,5.475995643999999
56.61885883,4.64061871,1.023294847,5.663913557
57.48027617,4.763299379,1.075454183,5.838753562
